familia,tabla,variable,tipo_dato,unidad,rol,grano_tabla,descripcion,advertencia
01_deuda_carga_financiera,saldo_deuda_por_situacion_2023,situacion,str,texto_categoria,dimension,"situacion de pago x tipo de deudor, nacional, 2023",Situacion,
01_deuda_carga_financiera,saldo_deuda_por_situacion_2023,saldo_desertores_mm_clp,int64,millones_CLP,metrica,"situacion de pago x tipo de deudor, nacional, 2023",Saldo desertores mm clp,
01_deuda_carga_financiera,saldo_deuda_por_situacion_2023,saldo_egresados_mm_clp,int64,millones_CLP,metrica,"situacion de pago x tipo de deudor, nacional, 2023",Saldo egresados mm clp,
01_deuda_carga_financiera,saldo_deuda_por_situacion_2023,saldo_total_mm_clp,int64,millones_CLP,metrica,"situacion de pago x tipo de deudor, nacional, 2023","Saldo total publicado, en millones de pesos chilenos.",
01_deuda_carga_financiera,saldo_deuda_por_situacion_2023,pagina,int64,conteo_entero,trazabilidad,"situacion de pago x tipo de deudor, nacional, 2023",Página del PDF de Fundación SOL donde se publicó la tabla.,
01_deuda_carga_financiera,saldo_deuda_por_situacion_2023,fuente,str,texto_categoria,trazabilidad,"situacion de pago x tipo de deudor, nacional, 2023","Referencia al documento, cuadro o fuente utilizada.",
01_deuda_carga_financiera,cuota_y_saldo_promedio_2023,grupo,str,texto_categoria,dimension,"tipo de deudor x situacion de pago, nacional, 2023",Grupo,
01_deuda_carga_financiera,cuota_y_saldo_promedio_2023,cuota_mensual_promedio_clp,int64,CLP,metrica,"tipo de deudor x situacion de pago, nacional, 2023",Cuota mensual promedio clp,
01_deuda_carga_financiera,cuota_y_saldo_promedio_2023,saldo_promedio_clp,int64,CLP,metrica,"tipo de deudor x situacion de pago, nacional, 2023","Saldo promedio publicado, expresado en pesos chilenos.",
01_deuda_carga_financiera,cuota_y_saldo_promedio_2023,pagina,int64,conteo_entero,trazabilidad,"tipo de deudor x situacion de pago, nacional, 2023",Página del PDF de Fundación SOL donde se publicó la tabla.,
01_deuda_carga_financiera,cuota_y_saldo_promedio_2023,fuente,str,texto_categoria,trazabilidad,"tipo de deudor x situacion de pago, nacional, 2023","Referencia al documento, cuadro o fuente utilizada.",
01_deuda_carga_financiera,creditos_cursados_y_recomprados_2006_2023,periodo,str,conteo_entero,tiempo,"año, nacional",Periodo,
01_deuda_carga_financiera,creditos_cursados_y_recomprados_2006_2023,creditos_cursados_n,int64,conteo_entero,metrica,"año, nacional",Creditos cursados n,
01_deuda_carga_financiera,creditos_cursados_y_recomprados_2006_2023,monto_creditos_cursados_mm_clp_dic2023,int64,millones_CLP,metrica,"año, nacional",Monto creditos cursados mm clp dic2023,
01_deuda_carga_financiera,creditos_cursados_y_recomprados_2006_2023,creditos_recomprados_n,int64,conteo_entero,metrica,"año, nacional",Creditos recomprados n,
01_deuda_carga_financiera,creditos_cursados_y_recomprados_2006_2023,monto_recomprado_mm_clp_dic2023,int64,millones_CLP,metrica,"año, nacional",Monto recomprado mm clp dic2023,
01_deuda_carga_financiera,creditos_cursados_y_recomprados_2006_2023,valor_pagado_incl_recarga_mm_clp_dic2023,int64,millones_CLP,metrica,"año, nacional",Valor pagado incl recarga mm clp dic2023,
01_deuda_carga_financiera,creditos_cursados_y_recomprados_2006_2023,recarga_mm_clp_dic2023,int64,millones_CLP,metrica,"año, nacional",Recarga mm clp dic2023,
01_deuda_carga_financiera,creditos_cursados_y_recomprados_2006_2023,pagina,int64,conteo_entero,trazabilidad,"año, nacional",Página del PDF de Fundación SOL donde se publicó la tabla.,
01_deuda_carga_financiera,creditos_cursados_y_recomprados_2006_2023,fuente,str,texto_categoria,trazabilidad,"año, nacional","Referencia al documento, cuadro o fuente utilizada.",
01_deuda_carga_financiera,arancel_real_referencia_2024,institucion,str,texto_categoria,dimension,"institucion, aranceles 2024",Institucion,
01_deuda_carga_financiera,arancel_real_referencia_2024,institucion_clave,str,texto_categoria,clave_union,"institucion, aranceles 2024",Institucion clave,
01_deuda_carga_financiera,arancel_real_referencia_2024,arancel_real_promedio_clp,float64,CLP,metrica,"institucion, aranceles 2024",Arancel real promedio clp,
01_deuda_carga_financiera,arancel_real_referencia_2024,arancel_referencia_promedio_clp,float64,CLP,metrica,"institucion, aranceles 2024",Arancel referencia promedio clp,
01_deuda_carga_financiera,arancel_real_referencia_2024,diferencia_clp,float64,CLP,metrica,"institucion, aranceles 2024",Diferencia clp,
01_deuda_carga_financiera,arancel_real_referencia_2024,pagina,int64,conteo_entero,trazabilidad,"institucion, aranceles 2024",Página del PDF de Fundación SOL donde se publicó la tabla.,
01_deuda_carga_financiera,arancel_real_referencia_2024,fuente,str,texto_categoria,trazabilidad,"institucion, aranceles 2024","Referencia al documento, cuadro o fuente utilizada.",
02_pago_morosidad_garantias,deudores_etapa_pago_2023,tipo_deudor,str,texto_categoria,dimension,"tipo de deudor, nacional, 2023",Tipo deudor,
02_pago_morosidad_garantias,deudores_etapa_pago_2023,al_dia_n,int64,conteo_entero,metrica,"tipo de deudor, nacional, 2023",Al dia n,
02_pago_morosidad_garantias,deudores_etapa_pago_2023,morosos_n,int64,conteo_entero,metrica,"tipo de deudor, nacional, 2023",Morosos n,
02_pago_morosidad_garantias,deudores_etapa_pago_2023,total_n,int64,conteo_entero,metrica,"tipo de deudor, nacional, 2023",Total n,
02_pago_morosidad_garantias,deudores_etapa_pago_2023,tasa_morosidad,float64,proporcion_0_1,metrica,"tipo de deudor, nacional, 2023",Tasa morosidad,
02_pago_morosidad_garantias,deudores_etapa_pago_2023,pagina,int64,conteo_entero,trazabilidad,"tipo de deudor, nacional, 2023",Página del PDF de Fundación SOL donde se publicó la tabla.,
02_pago_morosidad_garantias,deudores_etapa_pago_2023,fuente,str,texto_categoria,trazabilidad,"tipo de deudor, nacional, 2023","Referencia al documento, cuadro o fuente utilizada.",
02_pago_morosidad_garantias,morosos_garantia_ejecutada_2023,tipo_deudor,str,texto_categoria,dimension,"tipo de deudor moroso, nacional, 2023",Tipo deudor,
